Title,Description,Status,Category,Location,ID
Oscilloskop HP54600B,100MHz b/w 2 Kanaler,Tested,Instrument,B01,2022_00000
Poynting Antenn,Antagligen for användning med mobilnätverk,Untested,Radio,C01,2022_00001
HP 53131A Universal Counter,225MHz,Tested,Instrument,B01,2022_00002
Anritsu Universal Test Fixture,Model 3680-20,Tested,Gerät,B01,2022_00003
Gramofon,L75 Lenco,Untested,Nostalgia,A01,2022_00005
Benchtop Ionizer,"Desco fläkt funkar, vet inte om resten",Lights up,Gerät,C01,2022_00006
Leader LFG-1300 Funktionsgenerator,Verkar fungera,Tested,Instrument,B01,2022_00007
Copex LF-102,Analog projektor (lampa),Tested,Gerät,C01,2022_00008
Konstig våg,Värkar mäta någon vikt,Lights up,Instrument,C01,2022_00009
Variac 0-270V,HSN0303 13A,Tested,Power supply,B01,2022_00010
Stroboskop,Funkar som tachometer,Tested,Gerät,B01,2022_00012
S-video kamera,Verkar vara i bra skick,Tested,Video,C01,2022_00013
Precision capacitor 1100pF,Verkar vara i bra skick,Untested,Component,B01,2022_00014
Knappsats,"Många typer, ganska många känns som riktigt högkvalitativa grejer",Untested,Miscellaneous,C01,2022_00015
Clamp meter,400A,Untested,Gerät,C01,2022_00016
batterier,Ser ut som lithium-ion,Untested,Gerät,C01,2022_00017
Termaline koaxialmotstånd,80W 51.5ohm N-kontakt,Other,Radio,C01,2022_00018
Logic Troubleshooting Kit,Ingång saknar clips,Untested,Instrument,C01,2022_00020
Stag SE6T Uv Eraser,Skärmen sätts på,Lights up,Gerät,C01,2022_00021
Gerät,28 Ohm 65 A ,Untested,Gerät,C01,2022_00022
RF wattmeter, ,Untested,Radio,C01,2022_00023
Minwa step-conventer,AC 230 -> AC 110 800W,Untested,Gerät,B01,2022_00024
AC 230V till 110V converter,AC 230 till AC 110 800W Amerkanska uttag,Untested,Gerät,B01,2022_00026
Leader LBO-522 oscillocope + function gen.,"Oskilloskop med funktionsgenerator. Kanal ett fungerar, fick inte kanal 2 att fungera. Fick inte heller igång funktionsgeneratorn.",Lights up,Instrument,C01,2022_00027
testobjekt,cringe,Untested,Component,C01,2022_00029
ATM13 ,Fixed charge condenser sub miniature microphone,Untested,Component,C01,2022_00030
500W ATX PSU,OCZ500MXSP,Lights up,Power supply,C01,2022_00031
Universalräknare SC-7203,"Kanal A fungerar, B & C otestad",Tested,Instrument,A01,2022_00032
Phleps Dodge RF filter,"LOW 452-455, HIGH 462-465",Untested,Radio,C02,2022_00033
Dynavox stereo hi-fi amplifier, ,Lights up,Video,B01,2022_00034
Spotlight galvanometer, ,Untested,Gerät,C01,2022_00035
Servogor 460 datalogger,Verkar fungera ok. 4 kanaler,Tested,Gerät,C01,2022_00036
Marconi FM/AM modulation meter,Lyser,Lights up,Instrument,C01,2022_00037
Three Keyboards,IBM - VICTOR - TRANFOR,Untested,Computer,C01,2022_00038
Elevation Indicator,Kenpro KR/500B,Lights up,Radio,C01,2022_00039
General KDE 821,Antagligen en terminal 2x DB25 pa baksidan,Lights up,Gerät,C01,2022_00040
Network finder,Wi-net window,Lights up,Computer,C01,2022_00041
IC assortment,Audio and power,Untested,Component,C01,2022_00042
Handbook of Chemistry and physics,Går för 2230 ny i bra skick,Tested,Miscellaneous,A01,2022_00043
Poker set,2x decks + markers,Tested,Gerät,B01,2022_00044
FSP datonataggregat,Verkar fungera utan problem,Tested,Power supply,B01,2022_00045
TLS3001,Led strip,Untested,Miscellaneous,C01,2022_00046
Digital LA75 dot matrix printer, ,Tested,Gerät,B01,2022_00047
TLS3001,Led strip,Untested,Gerät,C01,2022_00048
Commodore 64, ,Untested,Nostalgia,B01,2022_00049
Commodore 64, ,Untested,Nostalgia,B01,2022_00050
Power Amplifier,7.1-7.7 GHz 6 st,Untested,Radio,B01,2022_00051
Anslut avfuktare,Kompressorn later ok lyser upp annars,Tested,Gerät,B01,2022_00052
Commodore Datassette,Eject knappen funkar inte,Untested,Gerät,C01,2022_00053
HP8564E,Spektrumanalysator 30Hz-40GHz. Testad av SA6JKK,Tested,Instrument,A01,2022_00054
RG58A-U Triax,Mer än 50m kvar antagligen,Other,Miscellaneous,B01,2022_00055
Cool låda, ,Untested,Gerät,C01,2022_00056
Super boxer fan,230-fläkt,Tested,Gerät,C01,2022_00057
Rotary encoder c.a. 300st,Känns nice. Klickar c.a. 32 steps,Untested,Component,C01,2022_00058
Antennrotordrivare,Styr azimuth motorn. Har minnesfunktiner samt funktioner för rotationsbegränsning,Lights up,Radio,C01,2022_00059
Pincett Lödstation,Har temperaturkontroll samt pedal,Tested,Gerät,C01,2022_00060
Fiber Optic Light Source,FI L151 swiss made till och med!,Tested,Gerät,C01,2022_00061
Barnstead/thermoline varmegrej,Värmer upp provrör,Lights up,Gerät,B01,2022_00062
Cole Parmer sprutpump,Verkar fungera. Lappen påstår NOT FOR HUMAN USE,Tested,Gerät,B01,2022_00063
HP 8111A function pulse generator,Verkar fungera helt ok. 20MHz,Tested,Instrument,A01,2022_00064
Senselab 4CHAmp,Antagligen en instrumentförstarkare,Untested,Gerät,C02,2022_00065
Behringer Composer MDX2000, ,Lights up,Video,B01,2022_00066
Behringer Ultradrive Pro,DCX 2496 Loudspeaker management system,Tested,Video,B01,2022_00067
